Citrus aurantium,Poor,
Citrus aurantium extract,Poor,Bitter orange extract. It can have antioxidant properties when eaten (Source: Journal of...
Citrus medica limonium,Poor,
Citrus unshiu,Average,Plant extract more commonly known as the satsuma. This medium-sized citrus fruit is native to...
Citrus unshiu peel extract,Average,
clary oil,Poor,Used as fragrance; can be a skin sensitizer.
clary sage,Good,"Also known as Salvia sclarea, the extract from the clary sage plant (not to be confused with common sage leaf) has antioxidant properties, although it isn’t nearly as well researched as several other plant extracts with antioxidant benefits..."
clay,Good,
clove leaf,Poor,
clove oil,Poor,Potent skin sensitizer when applied repeatedly...
clover blossom,Poor,"Contains eugenol, which can be a skin sensitizer and cause photosensitivity."
clover leaf oil,Poor,
cocamide DEA and MEA,Average,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties..."
cocamidopropyl betaine,Good,One of the more gentle surfactants used in skincare products.
cocamidopropyl dimethylamine,Good,"An antistatic agent derived from coconut oil, though it may be produced synthetically, too..."
cocamidopropyl hydroxysultaine,Good,Mild surfactant.
cocoa butter,Best,"Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other..."
cocoa extract,Best,Can have antioxidant properties...
coco-glucoside,Good,A mixture of fatty alcohol from coconut and glucose. Chiefly functions as a cleansing agent. May be...
cocoglycerides,Good,Used as an emollient and thickening agent in cosmetics.
coconut,Good,"Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently..."
coconut oil,Best,Non-volatile plant kernel oil that has emollient properties for skin.
cocos nucifera (coconut) fruit extract,Best,"The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins."
Cocus nucifera,Best,
Codium tomentosum extract,Good,
coenzyme Q10,Best,"Also known as ubiquinone, it is a vitamin-like, fat-soluble substance present in skin...."
Coffea arabica (coffee) seed oil,Best,"The concentrated oil from the coffee bean plant, whichis green, not dark brown as this color doesn't occur until coffee beans are roasted. Research on this oil's effect on skin..."
Coffea arabica seed extract,Best,"Coffea arabica\xa0is the coffee plant, and there is research showing that coffee extract has..."
Cola acuminata seed extract,Average,
Coleus barbatus,Poor,Member of the mint family and also known as forskolin; can be a skin sensitizer...
collagen amino acids,Good, 'Collagen amino acids are made from the hydrolylsis (breaking down with water) of protein...
colloidal oatmeal,Best,
colloidal silver,Poor,Refers to ground-up silver suspended in solution.
comfrey extract,Poor,Several studies have shown that comfrey extract can have harmful properties when...
Commiphora myrrha extract,Poor,
coneflower,Good,Another name for echinacea; has soothing properties.
Copaifera officinalis,Poor,
Copernicia cerifera wax,Good,
copper gluconate,Good,"Also known simply as copper, this mineral is an important trace element for human nutrition. The..."
copper lysinate/prolinate,Good,An amino acid/mineral complex that limited yet potentially exciting research has shown...
copper PCA,Good,A synthetic skin-conditioning agent composed of the copper salt of PCA (Pyrrolidone Carboxylic...
copper peptides,Good,"Copper peptides combine the element copper with three amino acids. Copper peptides occur naturally in the body, and are used in trace amounts to..."
copper sulfate,Average,"Effective for soothing skin, but there is no research showing it has any impact when used..."
Corallina officinalis extract,Good,
coriander,Good,"Herb and spice plant, the source of a fragrant component; it can be a potential skin sensitizer…"
cornflower,Best,Can have soothing properties for skin…
cornmint,Poor,Also known as wild mint; it can be sensitizing to skin…
corn oil,Best,Emollient oil with properties similar to those of other nonfragrant plant oils (Source: British...
cornstarch,Good,Starch obtained from corn and sometimes used as an absorbent in cosmetics instead of talc.
Cornus extract,Good,
Corylus americana,Good,
Corylus avellana,Good,
coumarin,Good,Organic compound found in plants and derived from the amino acid phenylalanine. It creates the...
cranberry seed extract,Best,Extract of the cranberry fruit. Natural components known as proanthocyanidins are responsible for...
cranberry seed oil,Best,Extract derived from the seed of this red berry; the oil (which is not red) has antioxidant...
Crataegus monogina extract,Average,
creatine,Best,An amino acid found in the human body and most type of meat and fish. This ingredient serves as the...
cucumber extract,Good,Non-irritating plant extract from the gourd family (think pumpkin) that’s often reputed to be...
Cucumis melo (melon) fruit extract,Best,"More commonly known as cantaloupe or honeydew melon, Cucumis melo is a fruit that is a rich source..."
Cucumis sativus extract,Good,
Cucurbita pepo seed extract,Best,
Cucurbitea peponis,Best,
Curcuma longa root,Best,
curcumin,Best,Antioxidant spice that can be effective in soothing skin…
Cyamopsis tetragonoloba,Good,
cyanocobalamin,Good,
cyclamen aldehyde,Poor,Synthetic fragrant component in products; it can aggravate skin.
cyclohexasiloxane,Good,One of the numerous forms of synthetic silicone
cyclomethicone,Good,Silicone with a drier finish than dimethicone.
cyclopentasiloxane,Good,"Lightweight silicone with a silky, slippery feel that functions as a skin/hair conditioning agent."
cyclotetrasiloxane,Good,
Cymbopogon citrates,Poor,
Cymbopogon martini,Poor,
cysteine,Good,
cystine,Good,
D&C,Good,"According to the FDA, D&C is an identification that indicates a coloring agent has been approved as..."
D&C colors,Good,General term for a wide group of color additives that are approved for use in drugs and cosmetics...
daisy flower extract,Poor,"There is no research showing this extract has any benefit for skin. Also known as tansy, it can..."
d-alpha-tocopherol,Best,Antioxidant that's considered the most optimal form of vitamin E.
Daucus carota,Poor,"Also known as wild carrot. It can have antioxidant properties, but applied topically it can cause..."
DEA oleth-10 phosphate,Good,"Used as an emulsifying agent, which is a group of ingredients essential to most cosmetic..."
decarboxy carnosine HCL,Best,
decylene glycol,Good,A synthetic glycol that functions as a skin-conditioning agent.
decyl glucoside,Good,Used as a gentle detergent cleansing agent.
decyl oleate,Good,A skin-conditioning agent derived from the esters of decyl alcohol and oleic acid.
dehydroacetic acid,Good,A synthetic preservative uses in amounts of 0.6% or less. Sometimes its salt form (known as sodium...
dehydroepiandrosterone,Average,
deionized/demineralized water,Good,Filtered water used in cosmetics. All water used in cosmetic formulations goes through this process...
denatured alcohol,Poor,Denatured alcohol is a drying type of alcohol that aggravates and weakens skin...
deoxyribonucleic acid,Average,
detergent cleansing agent,Good,
deuterium oxide,Average,
dextran,Good,Polysaccharide that has water-binding properties for skin.
dextrin,Good,Carbohydrate that is classified as a polysaccharide. It is used as an adhesive when mixed with...
DHA,Good,
diatomaceous earth,Average,Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms....
diazolidinyl urea,Average,Water-soluble preservative.
dibutyl phthalate,Average,"Also known as DBP, it is a common ingredient in nail polish and most synthetic fragrances sold..."
dicaprylyl carbonate,Good,An emollient ingredient that may be derived from synthetic or animal sources. It spreads easily and...
dicetyl phosphate,Good,A mix of portions from cetyl alcohol and phosphoric acid that functions as surfactant and emulsifier.
diethylhexyl carbonate,Good,A synthetic oil-like\xa0ester that functions as a skin-conditioning agent and emollient. Also used in...
diethylhexyl malate,Good,Emollient and skin-conditioning agent derived from the solvent ethyl hexanediol.
diethylhexyl syringylidenemalonate,Good,An ester that functions as an antioxidant and helps defend cosmetics products from chemical or physical deterioration...
diheptyl succinate,Best,
dihydrocholeth-30,Good,A synthetic ingredient that functions as an emulsifier...
dihydroxyacetone,Good,"Ingredient present in all self-tanners that affects the color of skin. Derived from sugar, it..."
diisopropyl adipate,Good,"Used as a film-forming agent, emollient, and skin-conditioning agent."
diisopropyl dimer dilinoleate,Good,A synthetic ester that functions as a\xa0skin-conditioning agent and emollient.
diisostearoyl trimethylolpropane siloxy silicate,Good,Emollient in the silicone family.
diisostearyl dimer dilinoleate,Good,A synthetic ester that functions as an emollient and skin-conditioning agent. May be animal-derived.
diisostearyl malate,Good,Diisostearyl malate is an ester that functions as an emollient...
dimer dilinoleyl dimer dilinoleate,Good,A mixture of fatty acids and a fatty alcohol. This synthetic ingredient...
dimethicone,Good,"A type of silicone, dimethicone is one of the most frequently used emollient ingredients in moisturizers due to its gentleness..."
dimethicone/PEG-10/15 crosspolymer,Good,A mixture of the silicone dimethicone with PEG-10 and PEG-15.
dimethicone/vinyl dimethicone crosspolymer,Good,
dimethicone copolyol,Good,
dimethicone crosspolymer,Good,Silicone derivative used as a stabilizing or suspending agent or as a thickener.
dimethiconol,Good,
dimethyl capramide,Good,Functions as a stabilizer and solvent in cosmetics.
dimethyl ether,Poor,Colorless gas used as a propellant in aerosol products. It is potentially harmful if inhaled…
dimethyl isosorbide,Good,A solvent derived from the sugar sorbitol...
dimethyl MEA,Average,
Dioscorea villosa extract,Average,
dipentaerythrityl hexacaprylate/hexacaprate,Good,Mixture of fatty acids used as an emollient and thickening agent.
dipotassium glycyrrhizate,Best,
dipotassium glycyrrhizinate,Best,
dipotassium phosphate,Good, 'A synthetic salt that helps to adjust and maintain the pH of water-based and...
di-PPG-3 myristyl ether adipate,Good,Derivative of myristyl alcohol (a fatty alcohol) and adipic acid (a buffering and neutralizing...
